,Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits,Date_published,Success
1526,La honte,Oceanna,18381254,2019-04-07,Teen And Up Audiences,"Gen, M/M",No Archive Warnings Apply,Complete Work,Français,3164,1,2,2,0,145,2019-04-07,0
1527,What is that?,orphan_account,18376382,2019-04-06,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,842,1,4,70,6,826,2019-04-06,1
1528,Protect the stars,J_Forever,18333956,2019-04-06,Mature,M/M,Graphic Depictions Of Violence,Complete Work,English,4254,5,3,49,2,1233,2019-04-03,1
1529,"【GGAD】Winner are captive 胜者为俘（ABO,双A）",GRASS_W,18370889,2019-04-06,Explicit,M/M,Underage,Complete Work,中文-普通话 國語,4701,1,1,90,3,6030,2019-04-06,1
1530,Memento Mori,J_Forever,18160553,2019-04-05,Mature,Multi,No Archive Warnings Apply,Work in Progress,English,4518,6,11,53,11,852,2019-03-18,1
1531,"Stars, hide your fires",lilith_morgana,16872130,2019-04-05,Mature,M/M,No Archive Warnings Apply,Work in Progress,English,11655,6,78,244,37,3434,2018-12-05,1
1532,[GgAD]父子丼啦！(PWP一發完),nova2837,18361868,2019-04-05,Explicit,Other,"Graphic Depictions Of Violence, Underage",Complete Work,中文-普通话 國語,4807,1,0,23,0,4005,2019-04-05,0
1533,Every Day A Little Death（PWP）,Egglets,18278351,2019-04-05,Teen And Up Audiences,M/M,"Graphic Depictions Of Violence, Rape/Non-Con",Complete Work,中文-普通话 國語,32549,11,1,83,5,2570,2019-03-29,1
1534,Mermaid,Lily_Xie,18361202,2019-04-05,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,English,6008,1,0,38,0,2455,2019-04-05,1
1535,"Mirror, Mirror",CQueen,17623688,2019-04-05,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,4903,2,9,110,11,1464,2019-02-01,1
1536,carnation,kantele,18359951,2019-04-05,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,352,1,12,81,1,953,2019-04-05,1
1537,Acolyte,vsnow,18354386,2019-04-05,Teen And Up Audiences,"F/F, M/M",No Archive Warnings Apply,Complete Work,English,1541,1,8,51,5,885,2019-04-05,1
1538,anemone,kantele,18351083,2019-04-04,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,922,1,12,89,1,953,2019-04-04,1
1539,Nos jeunes années,Becky_Jones,17600591,2019-04-04,Mature,M/M,Choose Not To Use Archive Warnings,Work in Progress,Français,12328,4,20,24,1,404,2019-01-30,0
1540,离婚？不行,yw_wujiu,18348254,2019-04-04,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,35249,1,1,29,2,1035,2019-04-04,0
1541,GGAD ONE-SHOTS 💕,slxuliop,17546138,2019-04-04,Mature,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,0,2,1,10,0,625,2019-01-26,0
1542,A Late Night Surprise,Litsetaure,18347762,2019-04-04,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,2649,1,8,158,9,1392,2019-04-04,1
1543,【GGAD】Bravo,Qingo,18347120,2019-04-04,Teen And Up Audiences,"F/M, M/M",Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,7381,1,0,10,0,889,2019-04-04,0
1544,heather,kantele,18340313,2019-04-03,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,614,1,12,79,0,784,2019-04-03,1
1545,Why you should always knock before entering your teenager’s room,Lucky_Moony,18339539,2019-04-03,Mature,M/M,No Archive Warnings Apply,Complete Work,English,1820,1,21,183,14,1584,2019-04-03,1
1546,【以父之名】-6,ThatKup,18338153,2019-04-03,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,3029,1,0,2,0,550,2019-04-03,0
1547,【GGAD】通往霍格沃茨的密道,Qurainbow,18324038,2019-04-03,Mature,M/M,Rape/Non-Con,Complete Work,中文-普通话 國語,6438,3,2,162,4,6613,2019-04-02,1
1548,Why are you here?,orphan_account,18333284,2019-04-03,Teen And Up Audiences,"F/F, F/M, M/M",No Archive Warnings Apply,Complete Work,English,2008,1,6,32,1,730,2019-04-03,0
1549,The First of the Last,Spacelight,18327296,2019-04-02,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,100,1,6,26,1,425,2019-04-02,0
1550,多情种,rumalbus,18326972,2019-04-02,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,2278,1,0,13,0,1873,2019-04-02,0
1551,Der Traumfänger,Aphoride,18318536,2019-04-01,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,2483,1,8,32,3,510,2019-04-01,0
1552,A wizard to remember,J_Forever,18083531,2019-03-31,Mature,Multi,No Archive Warnings Apply,Work in Progress,English,4298,9,0,50,3,748,2019-03-12,1
1553,Unfortunate Endings,orphan_account,18307682,2019-03-31,General Audiences,M/M,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Complete Work,English,1705,1,1,57,1,697,2019-03-31,1
1554,Symphony for the Foreseen,Litsetaure,18307202,2019-03-31,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,3478,1,6,100,6,1197,2019-03-31,1
1555,daisies,kantele,18302738,2019-03-31,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,484,1,14,81,2,734,2019-03-31,1
1556,daffodil(s),kantele,18301832,2019-03-31,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,429,1,10,82,4,740,2019-03-31,1
1557,Made of Ivory and Gold,FrozenBrownie,18300761,2019-03-31,Mature,M/M,Graphic Depictions Of Violence,Complete Work,English,3045,1,11,65,7,1047,2019-03-31,1
1558,things we said too late,kantele,18294518,2019-03-31,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,423,1,17,105,5,1068,2019-03-31,1
1559,【GGAD】教授的第二次机会,Qurainbow,18256982,2019-03-31,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,5795,3,3,171,5,5944,2019-03-27,1
1560,summer rain,kantele,18299552,2019-03-31,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,566,1,10,64,1,765,2019-03-31,1
1561,【GGAD】以父之名- 4-5,ThatKup,18298763,2019-03-31,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,3129,1,0,5,0,726,2019-03-31,0
1562,【ADGG/中年组】再过四年AU,AVeryHugeCloud,17529527,2019-03-31,Explicit,M/M,Choose Not To Use Archive Warnings,Work in Progress,中文-普通话 國語,9905,9,0,70,0,2156,2019-01-24,1
1563,Hold on,OUATgirl,16909170,2019-03-30,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,26631,18,245,838,82,13150,2018-12-08,1
1564,sweet as your touch,kantele,18292790,2019-03-30,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,787,1,18,78,3,977,2019-03-30,1
1565,信徒,Lily_Xie,18289844,2019-03-30,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,English,5627,1,0,48,2,2294,2019-03-30,1
1566,【GGAD】怨讟,Qingo,18287240,2019-03-30,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,4926,1,0,103,3,7197,2019-03-30,1
1567,【GGAD】Kitsch,Qingo,18278996,2019-03-29,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,24643,3,0,18,1,1370,2019-03-29,0
1568,Sparks of Hope,HiddenObscurial,17557793,2019-03-29,Teen And Up Audiences,"F/M, M/M","Graphic Depictions Of Violence, Major Character Death",Work in Progress,English,13734,8,25,83,9,2982,2019-01-27,1
1569,丝绒玫瑰坠落薄荷旷野,SquirrelDecay,18276959,2019-03-29,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,4677,1,0,24,0,1344,2019-03-29,0
1570,Safer After the Rain,Litsetaure,18271676,2019-03-28,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,6076,1,12,123,17,1527,2019-03-28,1
1571,The Promise You Broke (Extended Version),MissTantabis,18270122,2019-03-28,Mature,M/M,Graphic Depictions Of Violence,Complete Work,English,3141,1,18,52,3,1027,2019-03-28,1
1572,Emerald Eyes,malfeyson,18241721,2019-03-28,Teen And Up Audiences,M/M,No Archive Warnings Apply,Work in Progress,English,5995,13,0,15,2,504,2019-03-26,0
1573,The only story I will ever be able to tell,SilverDoe290s,18261713,2019-03-27,Not Rated,M/M,Major Character Death,Complete Work,English,3075,1,19,130,12,1241,2019-03-27,1
1574,5 times Percival Graves scared the shit out of people + 1 time he scared the shit out of Newt,zuzallove,18251369,2019-03-27,Mature,M/M,Graphic Depictions Of Violence,Complete Work,English,6167,1,32,577,104,6371,2019-03-27,1
1575,Гиперборейцы,v_dolokhov,18248234,2019-03-26,Mature,No category,Choose Not To Use Archive Warnings,Complete Work,Русский,2076,2,0,6,0,100,2019-03-26,0
1576,И всяк взыскующий обрящет,v_dolokhov,17349530,2019-03-26,Mature,M/M,Choose Not To Use Archive Warnings,Work in Progress,Русский,13998,7,3,38,6,442,2019-01-08,1
1577,Гарри Поттер и Узник Нурменгарда,v_dolokhov,18248174,2019-03-26,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Work in Progress,Русский,7660,3,2,13,1,195,2019-03-26,0
1578,【GGAD】隐秘玫瑰7,dahliax,18246374,2019-03-26,Not Rated,"M/M, Other",Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,3149,1,2,11,0,1241,2019-03-26,0
1579,【GGAD】隐秘玫瑰6,dahliax,18246272,2019-03-26,Not Rated,"M/M, Other",Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,2863,1,0,5,0,907,2019-03-26,0
1580,【GGAD】隐秘玫瑰5,dahliax,18246233,2019-03-26,Not Rated,"M/M, Other",Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,2628,1,0,10,0,956,2019-03-26,0
1581,【GGAD】隐秘玫瑰4,dahliax,18246161,2019-03-26,Not Rated,"M/M, Other",Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,1919,1,0,10,0,1166,2019-03-26,0
1582,Bargains over Tea,orphan_account,17733407,2019-03-26,Mature,"M/M, F/M, F/F","Graphic Depictions Of Violence, Major Character Death",Complete Work,English,22189,9,64,357,30,5834,2019-02-10,1
1583,【GGAD】胜者的失败,Qurainbow,18244022,2019-03-26,General Audiences,M/M,No Archive Warnings Apply,Complete Work,中文-普通话 國語,1177,1,0,45,1,1620,2019-03-26,1
1584,Sweet Dreams,fluff_in_london,18097832,2019-03-25,Mature,M/M,Underage,Work in Progress,English,2266,2,0,22,0,448,2019-03-14,0
1585,Worst Hostage Ever,Phytine (Taouret),18226490,2019-03-24,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,2931,1,4,55,7,630,2019-03-24,1
1586,Отражение в зеркале,AhsokaBonteri,16736286,2019-03-24,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Work in Progress,Русский,15937,6,0,11,0,331,2018-11-25,0
1587,【GGAD】隐秘玫瑰3,dahliax,18220472,2019-03-24,Not Rated,"M/M, Other",Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,1613,1,0,7,0,1106,2019-03-24,0
1588,【GGAD】隐秘玫瑰2,dahliax,18220319,2019-03-24,Not Rated,"M/M, Other",Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,1819,1,0,10,0,1282,2019-03-24,0
1589,Friend and Foe,enoby,4357991,2019-03-24,Teen And Up Audiences,M/M,No Archive Warnings Apply,Work in Progress,English,29628,11,107,367,37,4794,2015-07-17,1
1590,[GGAD]Blood Covenant （血盟）,Re949,18218381,2019-03-24,Explicit,M/M,Rape/Non-Con,Complete Work,中文-普通话 國語,1837,1,0,7,1,1516,2019-03-24,0
1591,【GGAD】杀死汝爱（老盖小邓 灵魂伴侣梗）,phineivy,17257547,2019-03-23,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,57770,13,21,97,10,2208,2019-01-01,1
1592,rummaging for answers in the pages,kittysorceress,16917282,2019-03-23,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,English,37620,14,165,260,37,4397,2018-12-09,1
1593,God Father,Lily_Xie,18211763,2019-03-23,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,English,5254,1,0,35,0,2351,2019-03-23,0
1594,【GGAD】闭目塞听,Qurainbow,18178157,2019-03-23,Mature,M/M,Rape/Non-Con,Complete Work,中文-普通话 國語,7548,3,8,152,1,6399,2019-03-20,1
1595,TWIST'S & TURNS OF FATE,slxuliop,18206762,2019-03-23,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,9195,1,3,23,0,309,2019-03-23,0
1596,Sixty Days of Grindelwald,senselessmusing,18152498,2019-03-22,Mature,M/M,Major Character Death,Work in Progress,English,3302,7,7,35,4,654,2019-03-18,0
1597,How Can I Put It Down Into Words?,RoseCriss,18202400,2019-03-22,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,752,1,17,58,1,843,2019-03-22,1
1598,秋蕊香,Zhenhuai_13,18198329,2019-03-22,Not Rated,F/M,No Archive Warnings Apply,Complete Work,中文-普通话 國語,3135,1,3,24,2,2577,2019-03-22,0
1599,手套,lastrosa,18198020,2019-03-22,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,1016,1,1,71,2,3418,2019-03-22,1
1600,减龄剂的妙用 2,SquirrelDecay,18197744,2019-03-22,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,3893,1,0,50,1,2506,2019-03-22,1
1601,Consort,Mrs S Malfoy (BaileyFan9),16997013,2019-03-21,Teen And Up Audiences,No category,Rape/Non-Con,Work in Progress,English,2219,4,10,176,24,3473,2018-12-15,1
1602,【GGad+ggAD】诱惑 PWP 非4P,GRASS_W,18192296,2019-03-21,Mature,M/M,Underage,Complete Work,中文-普通话 國語,5188,1,0,55,0,4860,2019-03-21,1
1603,Curtains and Consequences,Litsetaure,18188225,2019-03-21,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,3556,1,9,115,4,1544,2019-03-21,1
1604,"A Pair of Thick, Woolen Socks",MickeySLee,18187277,2019-03-21,Mature,M/M,No Archive Warnings Apply,Complete Work,English,2063,1,3,90,8,1053,2019-03-21,1
1605,Daffodils,Ginny_Potter,18180461,2019-03-20,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,1087,1,4,43,3,384,2019-03-20,1
1606,Flaws,gypsiangel,14892929,2019-03-20,Explicit,"F/M, M/M",Choose Not To Use Archive Warnings,Work in Progress,English,18958,6,26,204,53,3109,2018-06-10,1
1607,Fragments of the Future,HiddenObscurial,18119453,2019-03-20,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,3025,1,2,49,6,856,2019-03-20,1
1608,意外事故,PotatoBunny17,18173948,2019-03-19,Mature,"F/M, M/M",Choose Not To Use Archive Warnings,Work in Progress,中文-普通话 國語,8669,2,0,31,3,2261,2019-03-20,0
1609,Remake the World With Me,HiddenObscurial,18161054,2019-03-19,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,850,1,4,53,1,651,2019-03-19,1
1610,【GGAD】浓雾之上,Qurainbow,18120134,2019-03-18,Teen And Up Audiences,M/M,Rape/Non-Con,Complete Work,中文-普通话 國語,8164,3,1,234,5,7575,2019-03-15,1
1611,Checkmate,allodo,18152597,2019-03-18,General Audiences,M/M,Choose Not To Use Archive Warnings,Work in Progress,中文-普通话 國語,9732,1,0,17,0,1343,2019-03-18,0
1612,365 Days of Drabbles,Millohoff,17274788,2019-03-17,Teen And Up Audiences,Multi,Choose Not To Use Archive Warnings,Work in Progress,English,26113,60,15,51,4,2535,2019-01-01,1
1613,The Secret She Hides,grindellore (Kate_Marley),18144626,2019-03-17,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,1020,1,19,106,10,1049,2019-03-17,1
1614,one person’s lie is just another man’s truth,dvmbledors,18141917,2019-03-17,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,English,448,1,5,86,5,911,2019-03-17,1
1615,减龄剂的妙用,SquirrelDecay,18141866,2019-03-17,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,4297,1,0,99,2,4473,2019-03-17,1
1616,Dancing Through Life,AlbusGellertAlways,18138452,2019-03-17,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,1512,1,12,131,4,1781,2019-03-17,1
1617,Brother-in-Law,Mischiefs_Hawk,18035465,2019-03-16,Not Rated,"Gen, M/M",Choose Not To Use Archive Warnings,Complete Work,English,2558,2,16,306,37,3919,2019-03-08,1
1618,小情人好哄,Lily_Xie,18136643,2019-03-16,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,English,3854,1,0,18,1,1530,2019-03-17,0
1619,【GGad】高塔玫瑰,GRASS_W,18130457,2019-03-16,Mature,M/M,Underage,Complete Work,中文-普通话 國語,17704,2,0,40,3,2018,2019-03-16,1
1620,The Ties that Bind,SilverDoe290s,18125144,2019-03-16,Teen And Up Audiences,"Gen, M/M",Choose Not To Use Archive Warnings,Complete Work,English,6319,1,35,182,23,1676,2019-03-16,1
1621,Earl Grey,Sineluce_Velius_Tristitia,18129527,2019-03-16,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,English,8752,1,30,451,87,5018,2019-03-16,1
1622,Can I braid your hair?,katychan666,18129224,2019-03-16,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,1831,1,10,101,4,1139,2019-03-16,1
1623,【ADGG/中年组/MCU衍生】灿若星辰,AVeryHugeCloud,18085460,2019-03-16,Explicit,M/M,Choose Not To Use Archive Warnings,Work in Progress,中文-普通话 國語,3158,2,0,21,0,1342,2019-03-12,0
1624,【GGAD】觊觎,rumalbus,18114662,2019-03-15,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,2426,1,0,48,0,4747,2019-03-15,1
1625,refero,GreaterGood (1oveclub),18116759,2019-03-15,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,English,2597,1,20,245,19,2542,2019-03-15,1
1626,Клубничка,Isfir,18106265,2019-03-14,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,Русский,427,1,0,5,0,152,2019-03-14,0
1627,Достоверны ли слухи?,SalemTheCat,18106142,2019-03-14,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,Русский,415,1,0,6,0,160,2019-03-14,0
1628,Spell Damage and How (Not) to Solve It,Litsetaure,18099380,2019-03-13,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,4397,1,8,94,6,987,2019-03-13,1
1629,Шелковый халат,Isfir,18098060,2019-03-13,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,Русский,226,1,0,11,0,280,2019-03-13,0
1630,Добыча,SalemTheCat,18096467,2019-03-13,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,Русский,304,1,0,7,0,194,2019-03-13,0
1631,Sweet little lies,Kindred,16697326,2019-03-13,Mature,M/M,No Archive Warnings Apply,Work in Progress,English,8207,9,318,771,139,21648,2018-11-21,1
1632,Ходят слухи,Isfir,18096716,2019-03-13,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,Русский,326,1,0,3,0,215,2019-03-13,0
1633,Зеркала и стекло,Isfir,18096710,2019-03-13,Teen And Up Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,Русский,265,1,0,2,0,89,2019-03-13,0
1634,И так каждый день,Isfir,18096689,2019-03-13,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,Русский,129,1,0,4,0,117,2019-03-13,0
1635,Носки на Рождество,Isfir,18096680,2019-03-13,Teen And Up Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,Русский,286,1,0,6,0,99,2019-03-13,0
1636,Запретное озеро,Isfir,18096677,2019-03-13,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,Русский,222,1,0,8,0,131,2019-03-13,0
1637,Что снится дубовому столу,SalemTheCat,18096494,2019-03-13,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,Русский,273,1,0,7,0,109,2019-03-13,0
1638,Согласно правилам приличия,SalemTheCat,18096479,2019-03-13,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,Русский,400,1,0,7,0,143,2019-03-13,0
1639,Что случается за закрытыми дверями,SalemTheCat,18096449,2019-03-13,General Audiences,"Gen, M/M",Choose Not To Use Archive Warnings,Complete Work,Русский,1115,1,0,12,0,138,2019-03-13,0
1640,Old And Gone,MathConcepts,18090365,2019-03-12,Teen And Up Audiences,"M/M, Other","Choose Not To Use Archive Warnings, Major Character Death",Complete Work,English,1170,1,2,64,7,779,2019-03-21,1
1641,So there,shamelessnameless,18090335,2019-03-12,Explicit,M/M,"Major Character Death, Underage",Complete Work,English,16324,1,13,256,50,6725,2019-03-12,1
1642,unhappily ever after,dvmbledors,18088346,2019-03-12,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,English,377,1,6,106,5,1421,2019-03-12,1
1643,【GGAD】隐秘玫瑰1,dahliax,18074486,2019-03-11,Not Rated,"M/M, Other",Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,1761,1,0,19,2,1628,2019-03-11,0
1644,The world in his eyes,ThatOneFinnishFangirl,18054260,2019-03-11,General Audiences,M/M,No Archive Warnings Apply,Work in Progress,English,2112,2,38,216,42,2955,2019-03-09,1
1645,El funeral de Ariana,Zei_Ivanov_S,18067976,2019-03-10,General Audiences,Gen,Choose Not To Use Archive Warnings,Complete Work,Español,1187,1,0,6,0,103,2019-03-10,0
1646,Bad boy needs to be punish,NellisTable,18067049,2019-03-10,Mature,M/M,Graphic Depictions Of Violence,Complete Work,English,1603,1,2,49,3,1585,2019-03-10,1
1647,"【ggAD】无人之境 (继子gg, ABO, NC17, 万字一发完)",RWahs,18063332,2019-03-10,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,12040,1,0,71,2,4875,2019-03-10,1
1648,海的造物,MANDAG,18061577,2019-03-10,General Audiences,M/M,No Archive Warnings Apply,Complete Work,中文-普通话 國語,2014,1,1,44,1,2762,2019-03-10,1
1649,09. Hanging out with friends 和朋友消磨時間,tienian,18060944,2019-03-10,General Audiences,M/M,No Archive Warnings Apply,Complete Work,中文-普通话 國語,1743,1,0,2,1,152,2019-03-10,0
1650,[GGAD]心蚀,dahliax,18060455,2019-03-10,Not Rated,"M/M, Other",Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,3688,1,0,40,4,2112,2019-03-10,1
1651,【GGAD】Heavy（AU！/ABO）2,shentu,18051599,2019-03-09,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,2523,1,0,31,0,2648,2019-03-09,0
1652,傲慢与偏见与完美,luoke,16964415,2019-03-09,Mature,M/M,No Archive Warnings Apply,Work in Progress,中文-普通话 國語,264478,35,6,241,9,3382,2018-12-12,1
1653,Cliff,Phytine (Taouret),17930759,2019-03-09,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,English,14987,3,19,171,23,2731,2019-02-26,1
1654,To Break A Pact,Ace_sama,17747213,2019-03-09,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,11616,2,17,188,30,2619,2019-02-12,1
1655,Endgame,Beserk,17669159,2019-03-09,Mature,"F/M, M/M","Graphic Depictions Of Violence, Major Character Death",Complete Work,English,53372,8,25,73,4,1412,2019-02-05,1
1656,Petite Mort,Phytine (Taouret),17634551,2019-03-07,Mature,M/M,No Archive Warnings Apply,Work in Progress,Français,36076,13,63,85,8,1374,2019-02-02,1
1657,The Puppeteer's Demise,almostannette,18021335,2019-03-06,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,5674,1,17,69,4,864,2019-03-06,1
1658,【ADGG+CBGG/ABO/3P/PWP】情欲,AVeryHugeCloud,17980205,2019-03-06,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,5279,2,1,132,2,34987,2019-03-03,1
1659,"Общее благо, или кое-что о лимонных дольках",Sozd,18019403,2019-03-06,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,Русский,5437,3,0,12,1,193,2019-03-06,0
1660,Partners in Crime,Lucky_Moony,17921195,2019-03-05,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,6063,2,38,148,14,2614,2019-02-25,1
1661,The Tell-Tale Eye / 眼露天机,evilfox,17782028,2019-03-05,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Work in Progress,中文-普通话 國語,20845,3,0,18,2,575,2019-02-14,0
1662,Not All Men Get To Rule The World,Poetiicdissonance,6367711,2019-03-03,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,196,2,0,22,1,376,2016-03-27,0
1663,You Were Never Really Here,kind-as-sunshine (yours_eternally),17987300,2019-03-03,Mature,M/M,No Archive Warnings Apply,Complete Work,English,1251,1,2,88,8,1307,2019-03-03,1
1664,of deserving,kantele,17985374,2019-03-03,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,894,1,11,83,3,1237,2019-03-03,1
1665,Spicy candy（洛丽塔AU/三观无略变态/一发完）,RewriteTheEndingOfStory,17984297,2019-03-03,Explicit,M/M,No Archive Warnings Apply,Complete Work,中文-普通话 國語,9372,1,2,53,3,2537,2019-03-03,1
1666,Hyperboreans,v_dolokhov,17971568,2019-03-02,Mature,M/M,Graphic Depictions Of Violence,Work in Progress,English,737,1,3,40,6,639,2019-03-02,1
1667,dream of me,kantele,17965112,2019-03-01,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,909,1,18,141,9,2690,2019-03-01,1
1668,Mind has Mountains,SilverDoe290s,17399771,2019-03-01,Teen And Up Audiences,"Gen, M/M","Graphic Depictions Of Violence, Major Character Death",Complete Work,English,19411,5,75,171,27,2094,2019-01-13,1
1669,[GGAD]激情未逝（一盖两邓 pwp）,lesliecaviezel,17961389,2019-03-01,Explicit,M/M,Rape/Non-Con,Complete Work,中文-普通话 國語,5945,1,0,43,5,5915,2019-03-01,1
1670,Hold Me,yesterdaisy_______57,17961338,2019-03-01,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,1289,1,2,33,2,597,2019-03-01,0
1671,Sappy Old Men,Mischiefs_Hawk,17954333,2019-02-28,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,English,1493,1,5,322,33,3851,2019-02-28,1
1672,Магия крови,SalemTheCat,17954117,2019-02-28,Explicit,M/M,No Archive Warnings Apply,Complete Work,Русский,12972,1,0,22,0,531,2019-02-28,0
1673,"For Aurelius, For Albus",Mischiefs_Hawk,17953127,2019-02-28,Not Rated,"Gen, M/M",Choose Not To Use Archive Warnings,Complete Work,English,682,1,12,189,12,2598,2019-02-28,1
1674,Трижды по сорок лет,WTF_Gelbus_2019,17952674,2019-02-28,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,Русский,671,1,0,15,0,194,2019-02-28,0
1675,Подарок,seane,17952623,2019-02-28,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,Русский,392,1,0,16,0,196,2019-02-28,0
1676,Тени,seane,17952278,2019-02-28,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,Русский,18430,1,0,46,2,501,2019-02-28,1
