,Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits,Date_published,Success
56,Fly on the Wall,yumbledore,29491479,2021-02-16,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,4226,1,8,30,3,232,2021-02-16,0
57,5 Times Albus Dumbledore Should've Said I Love You (and 1 Time He Shouldn't Have),violettavioletta,29491131,2021-02-16,General Audiences,"Gen, M/M",No Archive Warnings Apply,Complete Work,English,3817,6,4,8,0,121,2021-02-16,0
58,Remember,violettavioletta,29489163,2021-02-16,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,2381,1,2,8,1,99,2021-02-16,0
59,Катакомбы Парижа,Mecc,29482056,2021-02-16,Mature,"F/M, Gen, M/M",Graphic Depictions Of Violence,Complete Work,Русский,7398,1,0,1,0,19,2021-02-16,0
60,"""Will we die just a little?""",MadMikkleson,27052930,2021-02-15,Mature,M/M,"Graphic Depictions Of Violence, Underage",Work in Progress,Polski,27140,37,2,6,2,259,2020-10-17,0
61,Flowers and Blood,yixuan,26759182,2021-02-15,Mature,M/M,"Graphic Depictions Of Violence, Major Character Death, Underage",Work in Progress,English,95302,17,56,64,9,2122,2020-10-01,1
62,世界上最后一个巫师,HallSpin,29465772,2021-02-15,Teen And Up Audiences,M/M,Major Character Death,Complete Work,中文-普通话 國語,6080,1,0,6,0,54,2021-02-15,0
63,"Dumbledore, remembered",willemien,15155057,2021-02-15,Teen And Up Audiences,M/M,"Graphic Depictions Of Violence, Major Character Death",Work in Progress,English,0,9,29,182,6,2655,2018-07-03,1
64,The ballad of the sugar plum fairy,eldritcher,29439321,2021-02-15,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,11567,1,4,13,5,249,2021-02-15,0
65,Durmstrangs bester Schüler,Jessica_Graves,23352670,2021-02-14,Explicit,M/M,Underage,Work in Progress,Deutsch,106301,24,108,93,8,2848,2020-03-28,1
66,Ein ungewöhnliches Geschenk,Jessica_Graves,23345245,2021-02-14,Explicit,M/M,No Archive Warnings Apply,Work in Progress,Deutsch,104362,20,14,68,5,2363,2020-03-27,1
67,【GGAD】一世纪之后,Keith_IL,22255951,2021-02-15,Mature,M/M,Graphic Depictions Of Violence,Work in Progress,中文-普通话 國語,393737,102,69,307,38,9118,2020-01-14,1
68,My beautiful mystery,monkshoodandnightshade,28811586,2021-02-14,Mature,"F/M, M/M",Graphic Depictions Of Violence,Work in Progress,English,1961,2,5,47,6,655,2021-01-17,1
69,[GGAD]蚂蚁森林能种出电子爱情树吗？,MeatSoup,29433435,2021-02-15,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,3948,1,0,0,0,49,2021-02-14,0
70,情人节贺文,Appleginny,29433072,2021-02-15,Not Rated,No category,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,5964,3,0,4,0,54,2021-02-14,0
71,Hogwarts a History - the Musical,ComeSitInTheClover,29418726,2021-02-14,Teen And Up Audiences,Multi,Major Character Death,Complete Work,English,31148,1,0,1,1,59,2021-02-14,0
72,启示录1917,chestnut_cyn28,29288400,2021-02-14,Mature,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,18939,2,0,1,1,44,2021-02-08,0
73,潋窗,TacoUniverse,29417646,2021-02-13,Not Rated,M/M,Choose Not To Use Archive Warnings,Complete Work,中文-普通话 國語,2460,1,0,1,0,31,2021-02-14,0
74,A Deathly Hallows Unicorn,Silverhood,27292888,2021-02-13,Explicit,"F/F, F/M, M/M, Multi","Underage, Graphic Depictions Of Violence",Work in Progress,English,60419,14,123,461,143,10228,2020-10-31,1
75,Доказательства подают горячими,WTF HP Adventurers 2021 (HP_Adventurers),29403252,2021-02-13,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,Русский,794,1,8,16,0,149,2021-02-13,0
76,when your gay wizarding crush thinks she is straight,galatea_and_acis,29400924,2021-02-13,Teen And Up Audiences,"F/F, F/M, Gen",No Archive Warnings Apply,Work in Progress,English,20208,6,5,47,21,912,2021-02-13,1
77,Два веселых зайца,Dear_Al,29387667,2021-02-13,General Audiences,M/M,No Archive Warnings Apply,Complete Work,Русский,0,1,4,19,0,125,2021-02-13,0
78,Луна и солнце,Arno Violet (ultraviolet_vii),29397984,2021-02-13,General Audiences,M/M,No Archive Warnings Apply,Complete Work,Русский,0,1,5,22,0,170,2021-02-13,0
79,"Годрикова лощина, 1899",SalemTheCat,29397741,2021-02-13,Mature,M/M,No Archive Warnings Apply,Complete Work,Русский,0,1,0,18,0,141,2021-02-13,0
80,"He Entregado Mi Corazón, Querido",silvergreenroyalty,29396622,2021-02-13,Explicit,M/M,No Archive Warnings Apply,Complete Work,Español,12070,1,2,15,3,131,2021-02-13,0
81,Wonderful Adventure,yuxin_z,29392242,2021-02-12,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,1872,1,0,6,0,73,2021-02-13,0
82,100 Words of the Wizarding World,JoeMerl,27334255,2021-02-12,General Audiences,Multi,No Archive Warnings Apply,Complete Work,English,17591,100,34,79,9,3233,2020-11-01,1
83,Weeping Angel,impossibleleaf,15439710,2021-02-12,Teen And Up Audiences,Multi,Choose Not To Use Archive Warnings,Work in Progress,English,165510,40,724,1839,417,39596,2018-07-27,1
84,2021 retelling,Skylar_SAR,28544082,2021-02-12,Mature,Multi,No Archive Warnings Apply,Work in Progress,English,2045,3,0,5,0,131,2021-01-03,0
85,Draco Black and the Prisoner of Nurmengard,starbrigid,27824563,2021-02-12,Explicit,"F/M, Gen, M/M","Graphic Depictions Of Violence, Major Character Death, Underage",Work in Progress,English,247019,26,2048,2011,287,65641,2020-12-01,1
86,Reino de invierno,Mari_roez,28714638,2021-02-12,General Audiences,"F/M, M/M",Choose Not To Use Archive Warnings,Work in Progress,Español,8722,4,1,3,0,62,2021-01-12,0
87,Trở về năm 𝟏𝟖𝟗𝟗【Full】,caochon03,25803697,2021-02-11,General Audiences,M/M,No Archive Warnings Apply,Complete Work,Tiếng Việt,149867,65,4,9,0,384,2020-08-06,0
88,Never the Same Mistake,IhaveAbadfeelingAboutThis,29069208,2021-02-11,Mature,"M/M, Multi",No Archive Warnings Apply,Work in Progress,English,29464,6,25,10,4,241,2021-01-29,0
89,Phoenix Insurgent,Bolshevikmuppet99,19372750,2021-02-11,General Audiences,Gen,Choose Not To Use Archive Warnings,Work in Progress,English,76901,13,126,276,44,5337,2019-06-26,1
90,Never again,Legend25,29289885,2021-02-11,Mature,M/M,Rape/Non-Con,Complete Work,English,7639,6,0,3,0,274,2021-02-08,0
